Dataset                          	#users        #items        #reviews      #reviews/#users
Amazon_Instant_Video_5.json      	5130          1685          37126         7.000000  
Apps_for_Android_5.json          	87271         13209         752937        8.000000  
Automotive_5.json                	2928          1835          20473         6.000000  
Baby_5.json                      	19445         7050          160792        8.000000  
Beauty_5.json                    	22363         12101         198502        8.000000  
Books_5.json                     	603668        367982        8898041       14.000000 
CDs_and_Vinyl_5.json             	75258         64443         1097592       14.000000 
Cell_Phones_and_Accessories_5.json   	27879         10429         194439        6.000000  
Clothing_Shoes_and_Jewelry_5.json   	39387         23033         278677        7.000000  
Digital_Music_5.json             	5541          3568          64706         11.000000 
Electronics_5.json               	192403        63001         1689188       8.000000  
Grocery_and_Gourmet_Food_5.json   	14681         8713          151254        10.000000 
Health_and_Personal_Care_5.json   	38609         18534         346355        8.000000  
Home_and_Kitchen_5.json          	66519         28237         551682        8.000000  
Kindle_Store_5.json              	68223         61934         982619        14.000000 
Movies_and_TV_5.json             	123960        50052         1697533       13.000000 
Musical_Instruments_5.json       	1429          900           10261         7.000000  
Office_Products_5.json           	4905          2420          53258         10.000000 
Patio_Lawn_and_Garden_5.json     	1686          962           13272         7.000000  
Pet_Supplies_5.json              	19856         8510          157836        7.000000  
Sports_and_Outdoors_5.json       	35598         18357         296337        8.000000  
Tools_and_Home_Improvement_5.json   	16638         10217         134476        8.000000  
Toys_and_Games_5.json            	19412         11924         167597        8.000000  
Video_Games_5.json               	24303         10672         231780        9.000000  
